2035-12-08 08:27:24 startup archives install
2035-12-08 08:27:24 install base-passwd <none> 3.5.20
2035-12-08 08:27:24 status half-installed base-passwd 3.5.20
2035-12-08 08:27:28 status unpacked base-passwd 3.5.20
2035-12-08 08:27:29 status unpacked base-passwd 3.5.20
2035-12-08 08:27:31 configure base-passwd 3.5.20 3.5.20
2035-12-08 08:27:31 status unpacked base-passwd 3.5.20
2035-12-08 08:27:32 status half-configured base-passwd 3.5.20
2035-12-08 08:27:34 status installed base-passwd 3.5.20
2035-12-08 08:27:37 startup archives install
2035-12-08 08:27:37 install base-files <none> 5lenny11
2035-12-08 08:27:37 status half-installed base-files 5lenny11
2035-12-08 08:27:41 status unpacked base-files 5lenny11
2035-12-08 08:27:43 status unpacked base-files 5lenny11
2035-12-08 08:27:44 configure base-files 5lenny11 5lenny11
2035-12-08 08:27:44 status unpacked base-files 5lenny11
2035-12-08 08:27:45 status unpacked base-files 5lenny11
2035-12-08 08:27:47 status unpacked base-files 5lenny11
2035-12-08 08:27:48 status unpacked base-files 5lenny11
2035-12-08 08:27:49 status unpacked base-files 5lenny11
2035-12-08 08:27:51 status half-configured base-files 5lenny11
2035-12-08 08:28:14 status installed base-files 5lenny11
2035-12-08 08:28:17 startup archives install
2035-12-08 08:28:18 upgrade dpkg 1.14.31 1.14.31
2035-12-08 08:28:18 status half-configured dpkg 1.14.31
2035-12-08 08:28:19 status unpacked dpkg 1.14.31
2035-12-08 08:28:20 status half-installed dpkg 1.14.31
2035-12-08 08:28:43 status half-installed dpkg 1.14.31
2035-12-08 08:29:14 status unpacked dpkg 1.14.31
2035-12-08 08:29:16 status unpacked dpkg 1.14.31
2035-12-08 08:29:18 configure dpkg 1.14.31 1.14.31
2035-12-08 08:29:18 status unpacked dpkg 1.14.31
2035-12-08 08:29:19 status unpacked dpkg 1.14.31
2035-12-08 08:29:20 status unpacked dpkg 1.14.31
2035-12-08 08:29:22 status unpacked dpkg 1.14.31
2035-12-08 08:29:23 status unpacked dpkg 1.14.31
2035-12-08 08:29:24 status half-configured dpkg 1.14.31
2035-12-08 08:29:26 status installed dpkg 1.14.31
2035-12-08 08:29:29 startup archives install
2035-12-08 08:29:29 install libc6 <none> 2.7-18lenny7
2035-12-08 08:29:29 status half-installed libc6 2.7-18lenny7
2035-12-08 08:30:27 status unpacked libc6 2.7-18lenny7
2035-12-08 08:30:28 status unpacked libc6 2.7-18lenny7
2035-12-08 08:30:30 configure libc6 2.7-18lenny7 2.7-18lenny7
2035-12-08 08:30:30 status unpacked libc6 2.7-18lenny7
