2015-12-30 18:42:11 startup archives install
2015-12-30 18:42:11 install base-passwd <none> 3.5.20
2015-12-30 18:42:11 status half-installed base-passwd 3.5.20
2015-12-30 18:42:11 status unpacked base-passwd 3.5.20
2015-12-30 18:42:11 status unpacked base-passwd 3.5.20
2015-12-30 18:42:11 configure base-passwd 3.5.20 3.5.20
2015-12-30 18:42:11 status unpacked base-passwd 3.5.20
2015-12-30 18:42:11 status half-configured base-passwd 3.5.20
2015-12-30 18:42:11 status installed base-passwd 3.5.20
2015-12-30 18:42:11 startup archives install
2015-12-30 18:42:11 install base-files <none> 5lenny11
2015-12-30 18:42:11 status half-installed base-files 5lenny11
2015-12-30 18:42:11 status unpacked base-files 5lenny11
2015-12-30 18:42:11 status unpacked base-files 5lenny11
2015-12-30 18:42:11 configure base-files 5lenny11 5lenny11
2015-12-30 18:42:11 status unpacked base-files 5lenny11
2015-12-30 18:42:11 status unpacked base-files 5lenny11
2015-12-30 18:42:11 status unpacked base-files 5lenny11
2015-12-30 18:42:11 status unpacked base-files 5lenny11
2015-12-30 18:42:11 status unpacked base-files 5lenny11
2015-12-30 18:42:11 status half-configured base-files 5lenny11
2015-12-30 18:42:12 status installed base-files 5lenny11
2015-12-30 18:42:12 startup archives install
2015-12-30 18:42:12 upgrade dpkg 1.14.31 1.14.31
2015-12-30 18:42:12 status half-configured dpkg 1.14.31
2015-12-30 18:42:12 status unpacked dpkg 1.14.31
2015-12-30 18:42:12 status half-installed dpkg 1.14.31
2015-12-30 18:42:12 status half-installed dpkg 1.14.31
2015-12-30 18:42:12 status unpacked dpkg 1.14.31
2015-12-30 18:42:12 status unpacked dpkg 1.14.31
2015-12-30 18:42:12 configure dpkg 1.14.31 1.14.31
2015-12-30 18:42:12 status unpacked dpkg 1.14.31
2015-12-30 18:42:12 status unpacked dpkg 1.14.31
2015-12-30 18:42:12 status unpacked dpkg 1.14.31
2015-12-30 18:42:12 status unpacked dpkg 1.14.31
2015-12-30 18:42:12 status unpacked dpkg 1.14.31
2015-12-30 18:42:12 status half-configured dpkg 1.14.31
2015-12-30 18:42:13 status installed dpkg 1.14.31
2015-12-30 18:42:13 startup archives install
2015-12-30 18:42:13 install libc6 <none> 2.7-18lenny7
2015-12-30 18:42:13 status half-installed libc6 2.7-18lenny7
2015-12-30 18:42:13 status unpacked libc6 2.7-18lenny7
2015-12-30 18:42:13 status unpacked libc6 2.7-18lenny7
2015-12-30 18:42:13 configure libc6 2.7-18lenny7 2.7-18lenny7
2015-12-30 18:42:13 status unpacked libc6 2.7-18lenny7
2015-12-30 18:42:13 status unpacked libc6 2.7-18lenny7
2015-12-30 18:42:14 status unpacked libc6 2.7-18lenny7
2015-12-30 18:42:14 status unpacked libc6 2.7-18lenny7
2015-12-30 18:42:14 status unpacked libc6 2.7-18lenny7
2015-12-30 18:42:14 status unpacked libc6 2.7-18lenny7
2015-12-30 18:42:14 status half-configured libc6 2.7-18lenny7
2015-12-30 18:42:14 status installed libc6 2.7-18lenny7
2015-12-30 18:42:14 startup archives install
2015-12-30 18:42:14 install perl-base <none> 5.10.0-19lenny5
2015-12-30 18:42:14 status half-installed perl-base 5.10.0-19lenny5
2015-12-30 18:42:15 status unpacked perl-base 5.10.0-19lenny5
2015-12-30 18:42:15 status unpacked perl-base 5.10.0-19lenny5
2015-12-30 18:42:15 configure perl-base 5.10.0-19lenny5 5.10.0-19lenny5
2015-12-30 18:42:15 status unpacked perl-base 5.10.0-19lenny5
2015-12-30 18:42:15 status half-configured perl-base 5.10.0-19lenny5
2015-12-30 18:42:15 status installed perl-base 5.10.0-19lenny5
2015-12-30 18:42:15 startup archives install
2015-12-30 18:42:15 install mawk <none> 1.3.3-11.1
2015-12-30 18:42:15 status half-installed mawk 1.3.3-11.1
2015-12-30 18:42:15 status unpacked mawk 1.3.3-11.1
2015-12-30 18:42:15 status unpacked mawk 1.3.3-11.1
2015-12-30 18:42:15 configure mawk 1.3.3-11.1 1.3.3-11.1
2015-12-30 18:42:15 status unpacked mawk 1.3.3-11.1
2015-12-30 18:42:15 status half-configured mawk 1.3.3-11.1
2015-12-30 18:42:15 status installed mawk 1.3.3-11.1
2015-12-30 18:42:15 startup archives install
2015-12-30 18:42:15 install debconf <none> 1.5.24
2015-12-30 18:42:15 status half-installed debconf 1.5.24
2015-12-30 18:42:16 status unpacked debconf 1.5.24
2015-12-30 18:42:16 status unpacked debconf 1.5.24
2015-12-30 18:42:16 configure debconf 1.5.24 1.5.24
2015-12-30 18:42:16 status unpacked debconf 1.5.24
2015-12-30 18:42:16 status unpacked debconf 1.5.24
2015-12-30 18:42:16 status unpacked debconf 1.5.24
2015-12-30 18:42:16 status unpacked debconf 1.5.24
2015-12-30 18:42:16 status half-configured debconf 1.5.24
2015-12-30 18:42:16 status installed debconf 1.5.24
2015-12-30 18:42:16 startup archives unpack
2015-12-30 18:42:16 install libacl1 <none> 2.2.47-2
2015-12-30 18:42:16 status half-installed libacl1 2.2.47-2
2015-12-30 18:42:16 status unpacked libacl1 2.2.47-2
2015-12-30 18:42:17 status unpacked libacl1 2.2.47-2
2015-12-30 18:42:17 install libattr1 <none> 1:2.4.43-2
2015-12-30 18:42:17 status half-installed libattr1 1:2.4.43-2
2015-12-30 18:42:17 status unpacked libattr1 1:2.4.43-2
2015-12-30 18:42:17 status unpacked libattr1 1:2.4.43-2
2015-12-30 18:42:17 upgrade base-files 5lenny11 5lenny11
2015-12-30 18:42:17 status half-configured base-files 5lenny11
2015-12-30 18:42:17 status unpacked base-files 5lenny11
2015-12-30 18:42:17 status half-installed base-files 5lenny11
2015-12-30 18:42:17 status half-installed base-files 5lenny11
2015-12-30 18:42:17 status unpacked base-files 5lenny11
2015-12-30 18:42:17 status unpacked base-files 5lenny11
2015-12-30 18:42:17 upgrade base-passwd 3.5.20 3.5.20
2015-12-30 18:42:17 status half-configured base-passwd 3.5.20
2015-12-30 18:42:17 status unpacked base-passwd 3.5.20
2015-12-30 18:42:17 status half-installed base-passwd 3.5.20
2015-12-30 18:42:17 status half-installed base-passwd 3.5.20
2015-12-30 18:42:17 status unpacked base-passwd 3.5.20
2015-12-30 18:42:17 status unpacked base-passwd 3.5.20
2015-12-30 18:42:17 install bash <none> 3.2-4
2015-12-30 18:42:17 status half-installed bash 3.2-4
2015-12-30 18:42:18 status unpacked bash 3.2-4
2015-12-30 18:42:18 status unpacked bash 3.2-4
2015-12-30 18:42:18 install coreutils <none> 6.10-6
2015-12-30 18:42:18 status half-installed coreutils 6.10-6
2015-12-30 18:42:19 status unpacked coreutils 6.10-6
2015-12-30 18:42:19 status unpacked coreutils 6.10-6
2015-12-30 18:42:19 install libdb4.6 <none> 4.6.21-11
2015-12-30 18:42:19 status half-installed libdb4.6 4.6.21-11
2015-12-30 18:42:19 status unpacked libdb4.6 4.6.21-11
2015-12-30 18:42:19 status unpacked libdb4.6 4.6.21-11
2015-12-30 18:42:19 install debconf-i18n <none> 1.5.24
2015-12-30 18:42:19 status half-installed debconf-i18n 1.5.24
2015-12-30 18:42:19 status unpacked debconf-i18n 1.5.24
2015-12-30 18:42:19 status unpacked debconf-i18n 1.5.24
2015-12-30 18:42:19 upgrade debconf 1.5.24 1.5.24
2015-12-30 18:42:19 status half-configured debconf 1.5.24
2015-12-30 18:42:19 status unpacked debconf 1.5.24
2015-12-30 18:42:19 status half-installed debconf 1.5.24
2015-12-30 18:42:19 status half-installed debconf 1.5.24
2015-12-30 18:42:20 status unpacked debconf 1.5.24
2015-12-30 18:42:20 status unpacked debconf 1.5.24
2015-12-30 18:42:20 install debianutils <none> 2.30
2015-12-30 18:42:20 status half-installed debianutils 2.30
2015-12-30 18:42:20 status unpacked debianutils 2.30
2015-12-30 18:42:20 status unpacked debianutils 2.30
2015-12-30 18:42:20 install libdevmapper1.02.1 <none> 2:1.02.27-4
2015-12-30 18:42:20 status half-installed libdevmapper1.02.1 2:1.02.27-4
2015-12-30 18:42:20 status unpacked libdevmapper1.02.1 2:1.02.27-4
2015-12-30 18:42:21 status unpacked libdevmapper1.02.1 2:1.02.27-4
2015-12-30 18:42:21 install diff <none> 2.8.1-12
2015-12-30 18:42:21 status half-installed diff 2.8.1-12
2015-12-30 18:42:21 status unpacked diff 2.8.1-12
2015-12-30 18:42:21 status unpacked diff 2.8.1-12
2015-12-30 18:42:21 upgrade dpkg 1.14.31 1.14.31
2015-12-30 18:42:21 status half-configured dpkg 1.14.31
2015-12-30 18:42:21 status unpacked dpkg 1.14.31
2015-12-30 18:42:21 status half-installed dpkg 1.14.31
2015-12-30 18:42:21 status half-installed dpkg 1.14.31
2015-12-30 18:42:21 status unpacked dpkg 1.14.31
2015-12-30 18:42:22 status unpacked dpkg 1.14.31
2015-12-30 18:42:22 install e2fslibs <none> 1.41.3-1
2015-12-30 18:42:22 status half-installed e2fslibs 1.41.3-1
2015-12-30 18:42:22 status unpacked e2fslibs 1.41.3-1
2015-12-30 18:42:22 status unpacked e2fslibs 1.41.3-1
2015-12-30 18:42:22 install e2fsprogs <none> 1.41.3-1
2015-12-30 18:42:22 status half-installed e2fsprogs 1.41.3-1
2015-12-30 18:42:22 status unpacked e2fsprogs 1.41.3-1
2015-12-30 18:42:22 status unpacked e2fsprogs 1.41.3-1
2015-12-30 18:42:22 install libblkid1 <none> 1.41.3-1
2015-12-30 18:42:22 status half-installed libblkid1 1.41.3-1
2015-12-30 18:42:22 status unpacked libblkid1 1.41.3-1
2015-12-30 18:42:22 status unpacked libblkid1 1.41.3-1
2015-12-30 18:42:22 install libcomerr2 <none> 1.41.3-1
2015-12-30 18:42:22 status half-installed libcomerr2 1.41.3-1
2015-12-30 18:42:22 status unpacked libcomerr2 1.41.3-1
2015-12-30 18:42:22 status unpacked libcomerr2 1.41.3-1
2015-12-30 18:42:22 install libss2 <none> 1.41.3-1
2015-12-30 18:42:22 status half-installed libss2 1.41.3-1
2015-12-30 18:42:23 status unpacked libss2 1.41.3-1
2015-12-30 18:42:23 status unpacked libss2 1.41.3-1
2015-12-30 18:42:23 install libuuid1 <none> 1.41.3-1
2015-12-30 18:42:23 status half-installed libuuid1 1.41.3-1
2015-12-30 18:42:23 status unpacked libuuid1 1.41.3-1
2015-12-30 18:42:23 status unpacked libuuid1 1.41.3-1
2015-12-30 18:42:23 install findutils <none> 4.4.0-2
2015-12-30 18:42:23 status half-installed findutils 4.4.0-2
2015-12-30 18:42:23 status unpacked findutils 4.4.0-2
2015-12-30 18:42:23 status unpacked findutils 4.4.0-2
2015-12-30 18:42:23 install gcc-4.2-base <none> 4.2.4-6
2015-12-30 18:42:23 status half-installed gcc-4.2-base 4.2.4-6
2015-12-30 18:42:23 status unpacked gcc-4.2-base 4.2.4-6
2015-12-30 18:42:23 status unpacked gcc-4.2-base 4.2.4-6
2015-12-30 18:42:23 install gcc-4.3-base <none> 4.3.2-1.1
2015-12-30 18:42:23 status half-installed gcc-4.3-base 4.3.2-1.1
2015-12-30 18:42:23 status unpacked gcc-4.3-base 4.3.2-1.1
2015-12-30 18:42:23 status unpacked gcc-4.3-base 4.3.2-1.1
2015-12-30 18:42:24 install libgcc1 <none> 1:4.3.2-1.1
2015-12-30 18:42:24 status half-installed libgcc1 1:4.3.2-1.1
2015-12-30 18:42:24 status unpacked libgcc1 1:4.3.2-1.1
2015-12-30 18:42:24 status unpacked libgcc1 1:4.3.2-1.1
2015-12-30 18:42:24 install libstdc++6 <none> 4.3.2-1.1
2015-12-30 18:42:24 status half-installed libstdc++6 4.3.2-1.1
2015-12-30 18:42:24 status unpacked libstdc++6 4.3.2-1.1
2015-12-30 18:42:24 status unpacked libstdc++6 4.3.2-1.1
2015-12-30 18:42:24 upgrade libc6 2.7-18lenny7 2.7-18lenny7
2015-12-30 18:42:24 status half-configured libc6 2.7-18lenny7
2015-12-30 18:42:24 status unpacked libc6 2.7-18lenny7
2015-12-30 18:42:24 status half-installed libc6 2.7-18lenny7
2015-12-30 18:42:25 status half-installed libc6 2.7-18lenny7
